epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37915,1.00006,4.10396,0.88699,0.00194,0.5,0.00613,0.00468,0.7655,4.04318,0.80158,0.00028339,0.00028339,0.00028339
2,8.81605,0.73053,1.89956,0.81519,0.00206,0.5,0.00504,0.00361,0.69546,3.83315,0.80734,0.000577674,0.000577674,0.000577674
3,12.2387,0.7139,1.72568,0.82237,0.00232,0.5,0.22436,0.17428,0.77013,3.26221,0.81725,0.000866017,0.000866017,0.000866017
4,15.4742,0.73819,1.45405,0.81788,0.00265,0.5,0.4975,0.39864,0.71508,2.80798,0.82002,0.00114842,0.00114842,0.00114842
5,18.5909,0.69907,1.31581,0.83228,0.98689,0.5,0.49692,0.41617,0.69943,2.13329,0.82269,0.00142488,0.00142488,0.00142488
6,21.7054,0.70306,1.15592,0.82043,1,0.30048,0.49744,0.42062,0.6954,1.974,0.82195,0.00158448,0.00158448,0.00158448
7,24.8221,0.65754,1.13622,0.83336,0.99831,0.5,0.4975,0.42531,0.62729,1.30433,0.81577,0.00156798,0.00156798,0.00156798
8,28.1032,0.6333,1.02412,0.80638,0.99927,0.5,0.4975,0.43526,0.61077,0.82208,0.80955,0.00155148,0.00155148,0.00155148
9,31.3443,0.62315,0.99282,0.80815,0.99926,0.5,0.4975,0.42136,0.62607,0.73256,0.81724,0.00153497,0.00153497,0.00153497
10,34.4124,0.62744,0.90661,0.81041,0.99306,0.5,0.49609,0.43298,0.62471,0.48001,0.81321,0.00151847,0.00151847,0.00151847
11,37.5141,0.60508,0.82491,0.81976,0.99291,0.5,0.49744,0.43947,0.55213,0.4598,0.80992,0.00150197,0.00150197,0.00150197
12,40.6549,0.57924,0.77301,0.82357,0.99943,0.5,0.4975,0.42851,0.62666,0.43872,0.81686,0.00148546,0.00148546,0.00148546
13,44.0576,0.60324,0.73068,0.80671,0.99899,0.5,0.4975,0.43481,0.57838,0.41539,0.80916,0.00146896,0.00146896,0.00146896
14,47.2006,0.62527,0.71829,0.80106,0.99347,0.5,0.4975,0.4389,0.56214,0.41018,0.80926,0.00145246,0.00145246,0.00145246
15,50.2418,0.57115,0.66146,0.7937,0.99808,0.5,0.4975,0.43974,0.56434,0.3907,0.80751,0.00143595,0.00143595,0.00143595
16,53.3011,0.56654,0.68103,0.80164,0.99316,0.5,0.49731,0.43035,0.59363,0.41132,0.81366,0.00141945,0.00141945,0.00141945
17,56.3239,0.58895,0.60735,0.79049,0.99316,0.5,0.49744,0.44943,0.52644,0.37871,0.80489,0.00140295,0.00140295,0.00140295
18,59.4599,0.54304,0.59249,0.79049,0.9932,0.5,0.49744,0.45407,0.5257,0.39078,0.80123,0.00138644,0.00138644,0.00138644
19,62.4891,0.54505,0.54473,0.79978,0.9934,0.5,0.4975,0.44517,0.49916,0.37735,0.79965,0.00136994,0.00136994,0.00136994
20,65.6901,0.56994,0.55078,0.79192,0.99319,0.5,0.49526,0.44763,0.50337,0.37674,0.80178,0.00135344,0.00135344,0.00135344
21,69.1361,0.57326,0.55596,0.80281,0.49308,0.5,0.49737,0.45278,0.53357,0.39349,0.80218,0.00133693,0.00133693,0.00133693
22,72.42,0.54273,0.52596,0.81128,0.49345,0.5,0.4975,0.43977,0.54267,0.38744,0.80732,0.00132043,0.00132043,0.00132043
23,75.6029,0.57871,0.50185,0.79171,0.49743,0.5,0.4975,0.4421,0.5842,0.37771,0.80635,0.00130393,0.00130393,0.00130393
24,78.6591,0.51965,0.46707,0.79686,0.49344,0.5,0.4975,0.44865,0.50705,0.35468,0.80169,0.00128742,0.00128742,0.00128742
25,81.6568,0.54154,0.47454,0.8022,0.49318,0.5,0.49744,0.4537,0.4819,0.34936,0.79897,0.00127092,0.00127092,0.00127092
26,84.7233,0.51264,0.44733,0.78977,0.49314,0.5,0.49744,0.44552,0.50161,0.36636,0.80443,0.00125442,0.00125442,0.00125442
27,87.7626,0.55568,0.45547,0.7929,0.49321,0.5,0.49731,0.45116,0.5252,0.36457,0.80705,0.00123791,0.00123791,0.00123791
28,90.8886,0.51853,0.43155,0.79404,0.49321,0.5,0.49673,0.44842,0.49025,0.35599,0.80345,0.00122141,0.00122141,0.00122141
29,93.9283,0.54299,0.4397,0.79968,0.49344,0.5,0.4975,0.44444,0.56165,0.35554,0.80594,0.00120491,0.00120491,0.00120491
30,97.0922,0.50319,0.43369,0.79625,0.49347,0.5,0.4975,0.44566,0.51004,0.35932,0.80406,0.0011884,0.0011884,0.0011884
31,100.183,0.51627,0.41626,0.80671,0.49713,0.5,0.4975,0.45563,0.48841,0.34789,0.80632,0.0011719,0.0011719,0.0011719
32,103.721,0.49646,0.40388,0.7819,0.49925,0.5,0.4975,0.45019,0.50567,0.34639,0.80216,0.0011554,0.0011554,0.0011554
33,106.977,0.4871,0.39749,0.79405,0.49891,0.5,0.4975,0.45671,0.46441,0.3408,0.80001,0.00113889,0.00113889,0.00113889
34,110.145,0.49893,0.38851,0.78171,0.49672,0.5,0.4975,0.45348,0.49007,0.34333,0.79847,0.00112239,0.00112239,0.00112239
35,113.509,0.48433,0.37788,0.78237,0.49828,0.5,0.4975,0.45431,0.50826,0.34076,0.79957,0.00110589,0.00110589,0.00110589
36,117.171,0.50288,0.37843,0.78762,0.49849,0.5,0.4975,0.45864,0.48389,0.32429,0.80005,0.00108938,0.00108938,0.00108938
37,120.349,0.50151,0.37432,0.8047,0.4984,0.5,0.4975,0.45645,0.50322,0.34153,0.80101,0.00107288,0.00107288,0.00107288
38,123.612,0.52008,0.38819,0.78384,0.49611,0.5,0.4975,0.45807,0.46063,0.33354,0.79642,0.00105638,0.00105638,0.00105638
39,126.813,0.48045,0.37298,0.79156,0.49349,0.5,0.4975,0.45636,0.49259,0.32871,0.80028,0.00103987,0.00103987,0.00103987
40,130.037,0.49776,0.36283,0.77918,0.49319,0.5,0.49744,0.45538,0.4625,0.32965,0.795,0.00102337,0.00102337,0.00102337
41,133.296,0.48057,0.35531,0.78907,0.49322,0.5,0.49731,0.44806,0.50389,0.33984,0.79929,0.00100687,0.00100687,0.00100687
42,136.413,0.49996,0.36284,0.79341,0.4932,0.5,0.49731,0.4544,0.49461,0.33066,0.79945,0.000990365,0.000990365,0.000990365
43,139.354,0.50019,0.36252,0.79254,0.49346,0.5,0.4975,0.45124,0.51359,0.33111,0.79953,0.000973861,0.000973861,0.000973861
44,142.655,0.49246,0.35711,0.79666,0.49567,0.5,0.4975,0.461,0.47642,0.32022,0.79665,0.000957358,0.000957358,0.000957358
45,146.049,0.47645,0.34603,0.80522,0.49314,0.5,0.4975,0.45015,0.49453,0.33954,0.8029,0.000940855,0.000940855,0.000940855
46,149.467,0.47363,0.3455,0.77634,0.49341,0.5,0.4975,0.45834,0.5132,0.31922,0.79908,0.000924352,0.000924352,0.000924352
47,152.631,0.48615,0.33869,0.79698,0.49347,0.5,0.4975,0.4553,0.47793,0.3112,0.79737,0.000907848,0.000907848,0.000907848
48,155.901,0.47393,0.3406,0.79253,0.49863,0.5,0.4975,0.45772,0.49256,0.32277,0.79761,0.000891345,0.000891345,0.000891345
49,159.362,0.45767,0.34459,0.78118,0.49889,0.5,0.4975,0.46191,0.46082,0.29943,0.7958,0.000874842,0.000874842,0.000874842
50,162.723,0.45847,0.33418,0.78525,0.49896,0.5,0.4975,0.45961,0.48664,0.30922,0.79628,0.000858338,0.000858338,0.000858338
51,165.859,0.46411,0.33809,0.78424,0.49788,0.5,0.4975,0.45641,0.46158,0.31376,0.79498,0.000841835,0.000841835,0.000841835
52,169.065,0.46226,0.32536,0.78176,0.49755,0.5,0.4975,0.45761,0.48402,0.32674,0.79443,0.000825332,0.000825332,0.000825332
53,172.365,0.46116,0.33361,0.77296,0.49578,0.5,0.4975,0.45536,0.47178,0.30466,0.79737,0.000808828,0.000808828,0.000808828
54,175.725,0.48908,0.32931,0.79222,0.4932,0.5,0.49686,0.45266,0.48537,0.30557,0.79715,0.000792325,0.000792325,0.000792325
55,179.278,0.49327,0.33425,0.79013,0.4932,0.5,0.49705,0.46119,0.46619,0.3095,0.7948,0.000775822,0.000775822,0.000775822
56,182.267,0.46641,0.32701,0.7846,0.49319,0.5,0.49737,0.45646,0.48638,0.31341,0.79771,0.000759318,0.000759318,0.000759318
57,185.389,0.47899,0.32542,0.78932,0.49721,0.5,0.4975,0.45555,0.46924,0.31098,0.79768,0.000742815,0.000742815,0.000742815
58,188.58,0.47616,0.32483,0.79674,0.49952,0.5,0.4975,0.45488,0.49667,0.29985,0.79869,0.000726312,0.000726312,0.000726312
59,191.922,0.46846,0.32438,0.77442,0.49816,0.5,0.4975,0.45917,0.45097,0.30752,0.79253,0.000709809,0.000709809,0.000709809
60,194.983,0.47234,0.3197,0.79249,0.49414,0.5,0.4975,0.45798,0.47427,0.30246,0.79575,0.000693305,0.000693305,0.000693305
61,197.97,0.437,0.30939,0.78172,0.4946,0.5,0.4975,0.46093,0.4482,0.30514,0.79427,0.000676802,0.000676802,0.000676802
62,201.325,0.44404,0.30431,0.76972,0.49731,0.5,0.4975,0.46281,0.45762,0.28577,0.79391,0.000660299,0.000660299,0.000660299
63,204.641,0.4413,0.30493,0.797,0.49765,0.5,0.4975,0.46422,0.44576,0.29055,0.79598,0.000643795,0.000643795,0.000643795
64,208.258,0.42159,0.29861,0.78903,0.49521,0.5,0.4975,0.45722,0.47761,0.29681,0.79787,0.000627292,0.000627292,0.000627292
65,211.514,0.42689,0.29489,0.78982,0.49346,0.5,0.4975,0.46587,0.44024,0.28405,0.79294,0.000610789,0.000610789,0.000610789
66,214.739,0.43741,0.30212,0.79298,0.49333,0.5,0.4975,0.46119,0.44639,0.2983,0.79484,0.000594286,0.000594286,0.000594286
67,218.001,0.43828,0.29455,0.79012,0.49333,0.5,0.4975,0.46102,0.44715,0.2961,0.79543,0.000577782,0.000577782,0.000577782
68,221.134,0.42922,0.29413,0.79444,0.49331,0.5,0.4975,0.46704,0.43354,0.28438,0.79139,0.000561279,0.000561279,0.000561279
69,224.471,0.4136,0.28421,0.77999,0.49336,0.5,0.4975,0.46761,0.4526,0.29761,0.79455,0.000544776,0.000544776,0.000544776
70,227.482,0.42806,0.28947,0.77361,0.49354,0.5,0.4975,0.46498,0.44508,0.28777,0.79366,0.000528272,0.000528272,0.000528272
71,230.507,0.41731,0.28573,0.78548,0.49338,0.5,0.4975,0.46076,0.43037,0.28855,0.79127,0.000511769,0.000511769,0.000511769
72,233.684,0.4455,0.29911,0.77821,0.49326,0.5,0.4975,0.46129,0.4592,0.28963,0.79296,0.000495266,0.000495266,0.000495266
73,236.743,0.42589,0.28489,0.78509,0.49323,0.5,0.49731,0.45735,0.44686,0.28731,0.79292,0.000478762,0.000478762,0.000478762
74,239.99,0.42022,0.28314,0.7758,0.49327,0.5,0.4975,0.46413,0.42794,0.27936,0.79291,0.000462259,0.000462259,0.000462259
75,243.123,0.41403,0.27139,0.78637,0.49323,0.5,0.49712,0.45994,0.43797,0.28216,0.79276,0.000445756,0.000445756,0.000445756
76,246.296,0.41233,0.28651,0.78108,0.49321,0.5,0.49596,0.45723,0.45107,0.29317,0.79265,0.000429253,0.000429253,0.000429253
77,249.328,0.40503,0.27357,0.7723,0.49314,0.5,0.49744,0.46129,0.44541,0.28647,0.79118,0.000412749,0.000412749,0.000412749
78,252.816,0.42006,0.27986,0.77285,0.49332,0.5,0.4975,0.46703,0.44366,0.27575,0.79209,0.000396246,0.000396246,0.000396246
79,255.854,0.40124,0.27521,0.78489,0.49323,0.5,0.49744,0.46113,0.4744,0.28193,0.79389,0.000379743,0.000379743,0.000379743
80,258.938,0.42548,0.27155,0.78229,0.49324,0.5,0.49737,0.46506,0.43635,0.28416,0.79178,0.000363239,0.000363239,0.000363239
81,262.445,0.41196,0.26883,0.78427,0.49324,0.5,0.49712,0.46399,0.42807,0.27263,0.7915,0.000346736,0.000346736,0.000346736
82,265.894,0.37658,0.25848,0.77878,0.49323,0.5,0.49744,0.46451,0.43263,0.27765,0.79121,0.000330233,0.000330233,0.000330233
83,269.098,0.41597,0.27067,0.77266,0.49323,0.5,0.49737,0.46676,0.4339,0.26436,0.79132,0.000313729,0.000313729,0.000313729
84,272.278,0.40154,0.26662,0.786,0.49323,0.5,0.49673,0.46753,0.42832,0.27664,0.79037,0.000297226,0.000297226,0.000297226
85,275.374,0.40921,0.26842,0.78593,0.49322,0.5,0.49654,0.46502,0.44693,0.27235,0.79204,0.000280723,0.000280723,0.000280723
86,278.397,0.4147,0.27523,0.77026,0.49322,0.5,0.49647,0.46452,0.43213,0.28187,0.79158,0.00026422,0.00026422,0.00026422
87,281.469,0.39979,0.26354,0.79641,0.49323,0.5,0.49654,0.46526,0.42703,0.27898,0.79196,0.000247716,0.000247716,0.000247716
88,284.473,0.38444,0.26032,0.7814,0.49323,0.5,0.49744,0.4632,0.42705,0.27667,0.79032,0.000231213,0.000231213,0.000231213
89,287.378,0.39363,0.25362,0.77959,0.49331,0.5,0.4975,0.46844,0.43836,0.26686,0.79018,0.00021471,0.00021471,0.00021471
90,290.532,0.38786,0.25189,0.78514,0.49335,0.5,0.4975,0.46365,0.42643,0.26364,0.79081,0.000198206,0.000198206,0.000198206
